"ii","Dim2","rr","Val"
"isr","fmp","ROE",-2.96851915076197E-10
"isr","ome","ROE",1.28679304856943E-10
"isr","omf","EUR",-2.2074467968242E-9
"isr","ely","ASI",6.40354744322257E-8
"isr","wtr","MES",6.89383555256366E-10
"isr","wtp","LAM",5.189099294754E-11
"isr","c","CHN",0.0724121573188157
"isr","c","KOR",0.0160499892755814
"isr","c","CAN",0.0751542148552249
"isr","c","MEX",5.02746010222488E-5
"isr","c","BRA",0.0534309899360486
"isr","c","RUS",0.000250558724216754
"isr","c","LAM",0.0498681184902188
"isr","c","EUR",0.175127558143458
"isr","c","ROE",0.0279422107605588
"isr","c","ASI",0.0463281091135552
"isr","c","REA",0.00121142290658677
"isr","c","ANZ",0.113132524160826
"isr","c","MES",0.0907464154922578
"isr","c","AFR",0.036452045169975
"isr","c","IDZ",0.0711522157942552
"isr","g","CHN",-0.0235148860980082
"isr","g","BRA",-0.0298627700266729
"isr","g","LAM",-0.0114627546095255
"isr","g","ROE",0.00635781325714878
"isr","g","ASI",0.456288697254001
"isr","g","REA",-0.0166241026521359
"isr","g","ANZ",0.0231675221554858
"isr","g","MES",0.0462589933303136
"isr","g","AFR",-0.00712312196751133
"isr","i","REA",5.27192594919076E-5
"isr","i","MES",0.0063370115073599
"obs","obs","ROE",-2.46230243545497E-10
"obs","dwe","LAM",-4.0818160829141E-10
"obs","pdr","CHN",-0.0151168212517296
"obs","pdr","JPN",-0.0168714990743131
"obs","pdr","KOR",-0.0308930679339441
"obs","pdr","USA",-0.0530872329433629
"obs","pdr","MEX",-0.0996371642087051
"obs","pdr","BRA",-0.0273937581635527
"obs","pdr","RUS",-0.0548662437290749
"obs","pdr","LAM",-0.000870295707118011
"obs","pdr","EUR",-0.00196525796020652
"obs","pdr","ROE",-0.0168750638267249
"obs","pdr","ANZ",-0.0023531347863173
"obs","pdr","MES",-0.00044508428757569
"obs","pdr","IDZ",-0.110818950472051
"obs","wht","CHN",-0.0159823643497341
"obs","wht","JPN",-0.0133578899608366
"obs","wht","CAN",-0.0143214822795952
"obs","wht","USA",-0.0498464137146144
"obs","wht","MEX",-0.710074781369736
"obs","wht","BRA",-0.0479216492807721
"obs","wht","RUS",-0.0822058730937549
"obs","wht","LAM",-0.00292619316779384
"obs","wht","EUR",-0.000604953404414666
"obs","wht","ROE",-0.0165418926360227
"obs","wht","ANZ",-0.0171309584773309
"obs","wht","MES",-0.000272103857593371
"obs","wht","AFR",-0.000156357714677103
"obs","gro","CHN",-0.015129867155747
"obs","gro","CAN",-0.0153271897866915
"obs","gro","USA",-0.0461019594042894
"obs","gro","MEX",-0.444434622553567
"obs","gro","BRA",-0.0422258096371299
"obs","gro","RUS",-0.0598927916238688
"obs","gro","LAM",-0.00129354776848764
"obs","gro","EUR",-0.00150842750256566
"obs","gro","ROE",-0.00728616579627547
"obs","gro","ANZ",-0.00687976497915731
"obs","gro","MES",-0.000115624714430847
"obs","gro","AFR",-0.000579830962296348
"obs","gro","IDZ",-0.161942571561799
"obs","v_f","CHN",-0.0038720597035825
"obs","v_f","JPN",-0.0175146439903984
"obs","v_f","KOR",-0.0404758166973677
"obs","v_f","CAN",-0.0152233051601562
