"ii","rr","ss","Val"
"rmk","AFR","ANZ",-0.00333499861249475
"rmk","AFR","MES",-0.00305911244010697
"rmk","AFR","AFR",-0.00278583308604398
"rmk","AFR","IDZ",-0.00304597828252802
"fsh","REA","CHN",0.0532236044002392
"fsh","REA","JPN",6.72986134961776E-5
"fsh","REA","KOR",0.00136556915083509
"fsh","REA","TWN",0.0736569455353667
"fsh","REA","IND",0.163370533933364
"fsh","REA","CAN",0.000600473471785026
"fsh","REA","USA",0.000629073566079047
"fsh","REA","MEX",0.00205663384529253
"fsh","REA","EUR",0.00340719506536205
"fsh","REA","ASI",0.0093409257190339
"fsh","REA","MES",0.000390884916790762
"coa","CHN","CHN",-0.119110271621995
"coa","CHN","JPN",-0.119110202887149
"coa","CHN","KOR",-0.119110211540011
"coa","CHN","TWN",-0.119110231096857
"coa","CHN","IND",-0.119110212674393
"coa","CHN","CAN",-0.119110262999846
"coa","CHN","USA",-0.119110243437666
"coa","CHN","MEX",-0.119110220066682
"coa","CHN","BRA",-0.119110200647198
"coa","CHN","RUS",-0.119110259862982
"coa","CHN","LAM",-0.119110186626797
"coa","CHN","EUR",-0.119110249041266
"coa","CHN","ROE",-0.119110250031984
"coa","CHN","ASI",-0.119110203960548
"coa","CHN","REA",-0.119110214276113
"coa","CHN","ANZ",-0.119110212561788
"coa","CHN","MES",-0.119110212429107
"coa","CHN","AFR",-0.119110237798193
"coa","IND","CHN",0.000127248617133145
"coa","IND","JPN",0.000127283663230893
"coa","IND","KOR",0.000127280185915346
"coa","IND","TWN",0.000127276156354106
"coa","IND","CAN",0.000127243063960614
"coa","IND","USA",0.000127279270744962
"coa","IND","RUS",0.000127245159094902
"coa","IND","LAM",0.000127262745916012
"coa","IND","EUR",0.000127280314928014
"coa","IND","ROE",0.000127262559433509
"coa","IND","ASI",0.000127253023683106
"coa","IND","REA",0.000127245589081891
"coa","IND","ANZ",0.000127276009160293
"coa","IND","MES",0.000127295340073275
"coa","IND","AFR",0.00012725164252505
"coa","CAN","CHN",0.0203653504023829
"coa","CAN","JPN",0.0203653782077901
"coa","CAN","KOR",0.0203653498417738
"coa","CAN","TWN",0.0203654308460525
"coa","CAN","IND",0.0203653687405473
"coa","CAN","BRA",0.0203653961699298
"coa","CAN","RUS",0.0203653707828428
"coa","CAN","LAM",0.020365407149548
"coa","CAN","EUR",0.0203654043971608
"coa","CAN","ROE",0.0203653373442102
"coa","CAN","ASI",0.0203653565744121
"coa","CAN","REA",0.0203653982469762
"coa","CAN","ANZ",0.0203653782973223
"coa","CAN","MES",0.0203653745008016
"coa","CAN","AFR",0.0203653883270287
"coa","USA","CHN",-0.00094791396124414
"coa","USA","JPN",-0.000947898661283864
"coa","USA","KOR",-0.000947885554521743
"coa","USA","TWN",-0.000947935818855328
"coa","USA","IND",-0.000947866835744993
"coa","USA","BRA",-0.000947899738614755
"coa","USA","RUS",-0.000947916819262096
"coa","USA","LAM",-0.000947909302198388
"coa","USA","EUR",-0.000947895193583836
"coa","USA","ROE",-0.000947930939318825
"coa","USA","ASI",-0.000947870565851174
"coa","USA","REA",-0.000947917549615199
"coa","USA","ANZ",-0.000947913065338079
"coa","USA","MES",-0.000947926962349183
"coa","USA","AFR",-0.000947934419578313
"coa","RUS","CHN",-0.0104125191343936
"coa","RUS","JPN",-0.0104124924091831
"coa","RUS","KOR",-0.0104125213058186
"coa","RUS","TWN",-0.0104124724459043
"coa","RUS","IND",-0.0104124565780686
"coa","RUS","CAN",-0.0104125081909416
"coa","RUS","USA",-0.0104124746606356
"coa","RUS","MEX",-0.0104124825178433
"coa","RUS","BRA",-0.0104124549888061
"coa","RUS","LAM",-0.0104124908293281
"coa","RUS","EUR",-0.0104124835714524
"coa","RUS","ROE",-0.0104125122242944
"coa","RUS","ASI",-0.0104125023891078
"coa","RUS","REA",-0.0104125096663166
"coa","RUS","ANZ",-0.0104124981357889
"coa","RUS","MES",-0.0104124658096844
"coa","RUS","AFR",-0.0104125084228353
"coa","LAM","CHN",-0.00144205364236287
"coa","LAM","JPN",-0.00141675241700403
"coa","LAM","KOR",-0.00141705744950005
"coa","LAM","TWN",-0.000945281358175235
"coa","LAM","IND",-0.000895643856514173
"coa","LAM","CAN",-0.00147471651413811
"coa","LAM","USA",-0.00145122932028898
"coa","LAM","MEX",-0.00149701411643376
"coa","LAM","BRA",-0.00142625636032977
"coa","LAM","RUS",-0.000130770119640564
"coa","LAM","LAM",-0.00148235781699792
"coa","LAM","EUR",-0.00144991474898138
"coa","LAM","ROE",-0.00127365324930182
"coa","LAM","ASI",-0.000741322456091043
"coa","LAM","REA",-0.000907611824479179
"coa","LAM","ANZ",7.08394485526155E-5
"coa","LAM","MES",-0.00150239579414026
"coa","LAM","AFR",-0.000998754900875694
"coa","ROE","CHN",-0.00314739364611218
"coa","ROE","JPN",-0.00214317662375278
"coa","ROE","KOR",-0.00596649056903079
"coa","ROE","TWN",-0.00247380941985956
"coa","ROE","IND",-0.00539745629364097
"coa","ROE","CAN",-0.00686445891896607
"coa","ROE","USA",-0.00864113179985196
"coa","ROE","MEX",-0.00715301161631747
"coa","ROE","BRA",-0.00656895466825658
"coa","ROE","RUS",-0.000228330648159905
"coa","ROE","LAM",-0.00801397374293711
"coa","ROE","EUR",-0.00318605921021982
"coa","ROE","ROE",-0.00229663538551757
"coa","ROE","ASI",-0.00319731645584803
"coa","ROE","REA",-0.00570085717758593
"coa","ROE","ANZ",-0.0112478045780469
"coa","ROE","MES",-0.00726166061005238
"coa","ROE","AFR",-0.0181223773290672
"coa","REA","CHN",-0.0152901411257806
"coa","REA","JPN",-0.00411135975612871
"coa","REA","KOR",-0.0063079228835731
"coa","REA","TWN",-0.0108182150456083
"coa","REA","IND",-0.00191169492737386
"coa","REA","CAN",-0.0122115580469545
"coa","REA","USA",-0.00719940693347964
"coa","REA","MEX",-0.0105636445060189
"coa","REA","BRA",-0.00978376345225136
"coa","REA","RUS",-0.0145755058475597
"coa","REA","LAM",-0.0137145551268576
"coa","REA","EUR",-0.0139249406673092
"coa","REA","ROE",-0.0122086614466302
"coa","REA","ASI",-0.00260073125880471
"coa","REA","REA",-0.00592483878280178
"coa","REA","ANZ",-0.00433117288658319
"coa","REA","MES",-0.012766573114653
"coa","REA","AFR",-0.00639641777008584
"coa","ANZ","CHN",-0.000242430032015098
"coa","ANZ","JPN",-9.16137794677685E-5
"coa","ANZ","KOR",4.5616449991596E-6
"coa","ANZ","TWN",5.69330783852701E-6
"coa","ANZ","IND",-0.000258107693834367
"coa","ANZ","CAN",-0.00556612972557477
"coa","ANZ","USA",-0.00209944704587998
"coa","ANZ","MEX",-3.46255844394765E-6
"coa","ANZ","BRA",-1.86925948678309E-5
"coa","ANZ","RUS",-0.00159754941280827
"coa","ANZ","LAM",-1.34603346615152E-5
"coa","ANZ","EUR",-2.6364174223785E-5
"coa","ANZ","ROE",-4.2567120941379E-5
"coa","ANZ","ASI",4.16955357250847E-6
"coa","ANZ","REA",-2.39979187066994E-5
"coa","ANZ","ANZ",-4.93325960719922E-6
"coa","ANZ","MES",-1.32515006212308E-5
"coa","ANZ","AFR",-0.00258673808526589
"coa","MES","CHN",-0.000262150490376311
"coa","MES","JPN",-2.27824158448236E-5
"coa","MES","KOR",-2.01185555177453E-5
"coa","MES","TWN",-6.17319105870466E-5
"coa","MES","IND",-0.000268103616482683
"coa","MES","CAN",-1.27847246165617E-6
"coa","MES","USA",-1.31644152020368E-6
"coa","MES","MEX",-3.40257840523884E-6
"coa","MES","BRA",-1.01523245232364E-5
"coa","MES","RUS",-5.78355955756441E-6
"coa","MES","LAM",-1.28899201252945E-6
"coa","MES","EUR",-2.13276152077836E-6
"coa","MES","ROE",-1.07321281490648E-5
"coa","MES","ASI",-1.42972525510215E-5
"coa","MES","REA",-0.000130262365954203
"coa","MES","ANZ",-3.64784176972764E-5
"coa","MES","MES",-4.84824095371606E-6
"coa","MES","AFR",-1.67035449379695E-5
"coa","AFR","CHN",-0.000398551054047133
"coa","AFR","JPN",-0.000377308983785316
"coa","AFR","KOR",-0.000402551877040321
"coa","AFR","TWN",-0.000396977768422806
"coa","AFR","IND",-0.000432849513134044
"coa","AFR","CAN",-0.000128794707335038
"coa","AFR","USA",0.00036244986485715
"coa","AFR","MEX",-0.000400287552829992
"coa","AFR","BRA",-0.000378823345034851
"coa","AFR","RUS",-4.31324744783454E-5
"coa","AFR","LAM",-0.000404301808315767
"coa","AFR","EUR",-0.000403364725738071
"coa","AFR","ROE",-0.000361453947035077
"coa","AFR","ASI",-0.000402272772889152
"coa","AFR","REA",-0.000385037619932645
"coa","AFR","ANZ",-0.000756215609213391
"coa","AFR","MES",-0.000402243260515405
"coa","AFR","AFR",-0.000321798554734328
"coa","IDZ","CHN",-0.00550867265269261
"coa","IDZ","JPN",-0.00550868205223409
"coa","IDZ","KOR",-0.00550872506538602
"coa","IDZ","TWN",-0.00550863880719477
"coa","IDZ","IND",-0.00550864262572315
"coa","IDZ","CAN",-0.00550869400252219
"coa","IDZ","USA",-0.00550871605143932
"coa","IDZ","MEX",-0.00550863132515778
"coa","IDZ","BRA",-0.00550868600557131
"coa","IDZ","RUS",-0.00550865217162633
"coa","IDZ","LAM",-0.00550864512445876
"coa","IDZ","EUR",-0.00550868906758279
"coa","IDZ","ROE",-0.00550867052053555
"coa","IDZ","ASI",-0.0055086811258335
"coa","IDZ","REA",-0.00550868653761695
"coa","IDZ","ANZ",-0.00550867965629213
"coa","IDZ","MES",-0.00550866678025948
"coa","IDZ","AFR",-0.00550867584328217
"oil","CAN","CHN",6.34142086184397E-5
"oil","CAN","JPN",6.34320127166355E-5
"oil","CAN","KOR",6.33903604231323E-5
"oil","CAN","TWN",6.3392532902995E-5
"oil","CAN","IND",6.34081547224996E-5
"oil","CAN","BRA",6.3444951477365E-5
"oil","CAN","LAM",6.34146699143246E-5
"oil","CAN","EUR",6.34245078780823E-5
"oil","CAN","ROE",6.34163891818181E-5
"oil","CAN","ASI",6.34084253764079E-5
"oil","CAN","REA",6.34077719525832E-5
"oil","CAN","ANZ",6.33930454975761E-5
"oil","CAN","MES",6.34069235370403E-5
"oil","CAN","AFR",6.33945136344746E-5
"oil","CAN","IDZ",6.34421560580245E-5
"oil","MEX","CHN",7.94878282683875E-6
"oil","MEX","JPN",7.95893469573983E-6
"oil","MEX","KOR",7.94325421704656E-6
"oil","MEX","TWN",7.94066295495277E-6
"oil","MEX","IND",7.92862126564042E-6
"oil","MEX","BRA",7.9172464561017E-6
"oil","MEX","LAM",7.92366320906353E-6
"oil","MEX","EUR",7.89904046044051E-6
"oil","MEX","ROE",7.90486150331539E-6
"oil","MEX","ASI",7.91560674878511E-6
"oil","MEX","REA",7.91492108824947E-6
"oil","MEX","ANZ",7.904168296808E-6
"oil","MEX","MES",7.89137606895706E-6
"oil","MEX","AFR",7.89996398895508E-6
"oil","MEX","IDZ",7.94930585401588E-6
"oil","BRA","CHN",-0.00126946632955294
"oil","BRA","JPN",-0.00126946808291106
"oil","BRA","KOR",-0.00126944597900369
"oil","BRA","TWN",-0.00126945798303657
"oil","BRA","IND",-0.00126942321094958
"oil","BRA","CAN",-0.00126950067692855
"oil","BRA","USA",-0.00126941894383137
"oil","BRA","LAM",-0.0012694425546483
"oil","BRA","EUR",-0.00126945839723946
"oil","BRA","ROE",-0.00126944154376701
"oil","BRA","ASI",-0.00126947661148946
"oil","BRA","REA",-0.00126947775229366
"oil","BRA","ANZ",-0.00126944664505545
"oil","BRA","MES",-0.00126943578594623
"oil","BRA","AFR",-0.00126944998919063
"oil","BRA","IDZ",-0.001269488491352
"oil","RUS","CHN",-0.370043173205088
"oil","RUS","JPN",-0.37004308761905
"oil","RUS","KOR",-0.370043153094682
"oil","RUS","TWN",-0.370043211158555
"oil","RUS","IND",-0.3700430850602
"oil","RUS","CAN",-0.370043127350279
"oil","RUS","USA",-0.370043179311619
"oil","RUS","BRA",-0.370043121338105
"oil","RUS","LAM",-0.37004308679432
"oil","RUS","EUR",-0.370043161788216
"oil","RUS","ROE",-0.370043137611512
"oil","RUS","ASI",-0.370043146859556
"oil","RUS","REA",-0.370043110717841
"oil","RUS","ANZ",-0.370043188024454
"oil","RUS","MES",-0.370043130693725
"oil","RUS","AFR",-0.370043101344649
"oil","RUS","IDZ",-0.370043108144081
"oil","LAM","CHN",-0.000648812656519939
"oil","LAM","JPN",-0.000195603121590205
"oil","LAM","KOR",-5.66999695608053E-5
"oil","LAM","TWN",-0.000408182273587235
"oil","LAM","IND",-1.69638293403445E-6
"oil","LAM","CAN",-2.32273989051402E-6
"oil","LAM","USA",-0.000267326531252021
"oil","LAM","BRA",-9.23600197707945E-5
"oil","LAM","LAM",-0.000936232954110601
"oil","LAM","EUR",-9.11172622078044E-6
"oil","LAM","ROE",-2.50426300763796E-6
"oil","LAM","ASI",-9.22755912708939E-5
"oil","LAM","REA",-0.000386455372275113
"oil","LAM","ANZ",-0.000378849320896136
"oil","LAM","MES",-0.000389864013532795
"oil","LAM","AFR",-6.70521665034307E-5
"oil","LAM","IDZ",-0.000378140120075573
"oil","EUR","CHN",7.98436043872049E-6
"oil","EUR","JPN",7.77835019175149E-6
"oil","EUR","KOR",8.04108238551075E-6
"oil","EUR","TWN",7.46296957021182E-6
"oil","EUR","IND",7.45316960489543E-6
"oil","EUR","CAN",8.0417859213902E-6
