"ii","rr","rr_1","Val"
"oil","CAN","KOR",0.0107397343963385
"oil","CAN","TWN",0.00249397614970803
"oil","CAN","IND",0.0184406992048025
"oil","CAN","USA",64.4981842041016
"oil","CAN","BRA",0.000884884269908071
"oil","CAN","LAM",0.64750253755119
"oil","CAN","EUR",0.0630819982216053
"oil","CAN","ROE",0.0316921082267072
"oil","CAN","ASI",0.11894683400169
"oil","CAN","REA",0.00163500630878843
"oil","CAN","ANZ",0.0115219011640875
"oil","CAN","MES",0.0041311413879157
"oil","CAN","AFR",0.00617774593047216
"oil","CAN","IDZ",0.000906537752598524
"oil","MEX","CHN",2.08204483985901
"oil","MEX","JPN",0.0130824390798807
"oil","MEX","KOR",0.0110916094854474
"oil","MEX","TWN",0.00259368983097374
"oil","MEX","IND",2.65997219085693
"oil","MEX","CAN",0.616119265556335
"oil","MEX","USA",62.9690856933594
"oil","MEX","BRA",0.000921315397135913
"oil","MEX","LAM",1.62021577216001
"oil","MEX","EUR",7.8784811766991
"oil","MEX","ROE",0.0296769878477789
"oil","MEX","ASI",0.0116678954218514
"oil","MEX","REA",0.00149305978266057
"oil","MEX","ANZ",0.0111255351439468
"oil","MEX","MES",0.00414478499442339
"oil","MEX","AFR",0.00535978889092803
"oil","MEX","IDZ",0.000854627171065658
"oil","BRA","CHN",4.36114120483398
"oil","BRA","JPN",0.00277021760120988
"oil","BRA","KOR",0.00234866980463266
"oil","BRA","TWN",0.000549228629097342
"oil","BRA","IND",1.86522972583771
"oil","BRA","CAN",0.30338516831398
"oil","BRA","USA",8.60720920562744
"oil","BRA","LAM",10.5959353511
"oil","BRA","EUR",2.15314297786199
"oil","BRA","ROE",0.0100827047308485
"oil","BRA","ASI",0.00247070228942903
"oil","BRA","REA",0.00031616652449884
"oil","BRA","ANZ",0.00205004517920315
"oil","BRA","MES",0.00087766466094763
"oil","BRA","AFR",0.00254455093408978
"oil","BRA","IDZ",0.000180969072971493
"oil","RUS","CHN",25.6521530151367
"oil","RUS","JPN",6.63137054443359
"oil","RUS","KOR",11.079008102417
"oil","RUS","TWN",0.0158469751477242
"oil","RUS","IND",0.271779239177704
"oil","RUS","CAN",0.239708349108696
"oil","RUS","USA",13.5998497009277
"oil","RUS","BRA",0.0056290808133781
"oil","RUS","LAM",1.08200566859159
"oil","RUS","EUR",174.450274350354
"oil","RUS","ROE",11.3607827280648
"oil","RUS","ASI",3.97960647405125
"oil","RUS","REA",0.00912227379740216
"oil","RUS","ANZ",1.83704605043022
"oil","RUS","MES",0.0253238417208195
"oil","RUS","AFR",0.301882096129702
"oil","RUS","IDZ",0.215662434697151
"oil","LAM","CHN",13.0322324170666
"oil","LAM","JPN",0.298831542007292
"oil","LAM","KOR",0.216262713827746
"oil","LAM","TWN",0.00619482023057571
"oil","LAM","IND",12.1442615850924
"oil","LAM","CAN",0.364449140414422
"oil","LAM","USA",91.8557903485125
"oil","LAM","BRA",0.0113816143932581
"oil","LAM","LAM",19.3810369897082
"oil","LAM","EUR",8.89473335569943
"oil","LAM","ROE",12.0457523471001
"oil","LAM","ASI",0.229702093586297
"oil","LAM","REA",0.00373860915215118
"oil","LAM","ANZ",0.0198068627432804
"oil","LAM","MES",0.0102143240900432
"oil","LAM","AFR",0.199068620131584
"oil","LAM","IDZ",0.00216403374201946
"oil","EUR","CHN",0.334733847528696
"oil","EUR","JPN",0.0599774545989931
"oil","EUR","KOR",0.463747483794577
"oil","EUR","TWN",0.00592741029686294
"oil","EUR","IND",0.0467300049494952
"oil","EUR","CAN",2.2776231940079
"oil","EUR","USA",5.64451815793291
"oil","EUR","BRA",0.00211054272949696
"oil","EUR","LAM",0.706072307405407
"oil","EUR","EUR",83.8103902343445
"oil","EUR","ROE",0.756724849150032
"oil","EUR","ASI",0.0268418938467221
"oil","EUR","REA",0.00341173767174041
"oil","EUR","ANZ",0.100293629102453
"oil","EUR","MES",0.00947099058794265
"oil","EUR","AFR",0.085077249389542
"oil","EUR","IDZ",0.00195496489322977
"oil","ROE","CHN",12.6129587712048
"oil","ROE","JPN",0.0350328782496945
"oil","ROE","KOR",0.031178042060219
"oil","ROE","TWN",0.0886566550625503
"oil","ROE","IND",1.00050737890888
"oil","ROE","CAN",2.13672858805194
"oil","ROE","USA",3.82396109627189
"oil","ROE","BRA",0.00272994764452505
"oil","ROE","LAM",1.65062369105658
"oil","ROE","EUR",63.6451113830901
"oil","ROE","ROE",10.4330431334956
"oil","ROE","ASI",0.929145663919826
"oil","ROE","REA",0.0858202045906751
"oil","ROE","ANZ",0.145958909319802
"oil","ROE","MES",10.5660790635407
"oil","ROE","AFR",0.142037229906236
"oil","ROE","IDZ",1.8785839272752
"oil","ASI","CHN",0.618435285752639
"oil","ASI","JPN",0.442944960441309
"oil","ASI","KOR",0.70388574898243
"oil","ASI","TWN",0.000287389394088677
"oil","ASI","IND",1.67743205578995
"oil","ASI","CAN",8.98234849273649E-5
"oil","ASI","USA",0.271844405791853
"oil","ASI","BRA",0.0364850481900021
"oil","ASI","LAM",0.00392170733334751
"oil","ASI","EUR",0.00723745986562108
"oil","ASI","ROE",0.00319682356160911
"oil","ASI","ASI",2.41791856956604
"oil","ASI","REA",0.000164307710804223
"oil","ASI","ANZ",3.12884151344974
"oil","ASI","MES",0.00045869305904489
"oil","ASI","AFR",0.000699235358297301
"oil","ASI","IDZ",0.0799047721490069
"oil","REA","CHN",1.99664383591153
"oil","REA","JPN",1.79756348801311
"oil","REA","KOR",2.02551779733039
"oil","REA","TWN",0.00504474516310438
"oil","REA","IND",1.56658556988987
"oil","REA","CAN",0.00187392902398642
"oil","REA","USA",0.606530228455085
"oil","REA","BRA",0.00228474653340527
"oil","REA","LAM",0.028346164138668
"oil","REA","EUR",0.132876405861339
"oil","REA","ROE",0.0624177127261305
"oil","REA","ASI",3.68840712446877
"oil","REA","REA",0.00323532048741981
"oil","REA","ANZ",4.02000156045438
"oil","REA","MES",0.00824838246370518
"oil","REA","AFR",0.0252973004046453
"oil","REA","IDZ",0.474125598574119
"oil","ANZ","CHN",2.11344895596267
"oil","ANZ","JPN",0.630212040952756
"oil","ANZ","KOR",0.959825693851599
"oil","ANZ","TWN",0.0993576780797412
"oil","ANZ","IND",0.487826956028584
"oil","ANZ","CAN",0.000236603135817859
"oil","ANZ","USA",0.280293654985144
"oil","ANZ","BRA",0.325816632317355
"oil","ANZ","LAM",0.00383199851216887
"oil","ANZ","EUR",0.00767472693223681
"oil","ANZ","ROE",0.00525723756152274
"oil","ANZ","ASI",1.77243567888024
"oil","ANZ","REA",0.000250940852311032
"oil","ANZ","ANZ",1.22414917847982
"oil","ANZ","MES",0.000439558197967926
"oil","ANZ","AFR",0.00166409444659621
"oil","ANZ","IDZ",0.470475586163957
"oil","MES","CHN",111.915772438049
"oil","MES","JPN",148.149340629578
"oil","MES","KOR",106.114584445953
"oil","MES","TWN",35.5218377038836
"oil","MES","IND",112.7712033391
"oil","MES","CAN",3.70505508244969
"oil","MES","USA",113.744643859565
"oil","MES","BRA",3.58644556679064
"oil","MES","LAM",1.46680809407007
"oil","MES","EUR",108.248723007748
"oil","MES","ROE",10.0743494668677
"oil","MES","ASI",86.4530969515909
"oil","MES","REA",9.37277043805443
"oil","MES","ANZ",3.62124196584227
"oil","MES","MES",6.66354576032609
"oil","MES","AFR",22.471959538685
"oil","MES","IDZ",5.25023577961838
"oil","AFR","CHN",63.0641143440153
"oil","AFR","JPN",4.42447226151853
"oil","AFR","KOR",1.28948974201921
"oil","AFR","TWN",4.15197774195985
"oil","AFR","IND",34.4383475868381
"oil","AFR","CAN",4.72914794391181
"oil","AFR","USA",104.502187160193
"oil","AFR","BRA",8.28743644380847
"oil","AFR","LAM",5.57575643490526
"oil","AFR","EUR",77.4472485908911
"oil","AFR","ROE",1.29426308020152
"oil","AFR","ASI",1.80343178131648
"oil","AFR","REA",0.0599185024128133
"oil","AFR","ANZ",3.23214374018647
"oil","AFR","MES",0.146841186293614
"oil","AFR","AFR",9.02906959378828
"oil","AFR","IDZ",1.58672182962437
"oil","IDZ","CHN",0.57017058134079
"oil","IDZ","JPN",3.87753629684448
"oil","IDZ","KOR",2.12673783302307
"oil","IDZ","TWN",0.17361769080162
"oil","IDZ","IND",0.00408833520486951
"oil","IDZ","CAN",0.000162084950716235
"oil","IDZ","USA",0.757999241352081
"oil","IDZ","BRA",0.0224677678197622
"oil","IDZ","LAM",0.00971690421079074
"oil","IDZ","EUR",0.0130489154041697
"oil","IDZ","ROE",0.00576902324519324
"oil","IDZ","ASI",1.0481127621606
"oil","IDZ","REA",0.000298525983453146
"oil","IDZ","ANZ",3.16459461705381
"oil","IDZ","MES",0.000828706364700338
"oil","IDZ","AFR",0.00144004970434253
"gas","CHN","CHN",0.34697350859642
"gas","CHN","JPN",0.0194247141480446
"gas","CHN","KOR",0.0115717630833387
"gas","CHN","TWN",0.0119273075833917
"gas","CHN","IND",0.00176831404678524
"gas","CHN","CAN",0.00396230211481452
"gas","CHN","USA",0.0531903356313705
"gas","CHN","MEX",0.000798855850007385
"gas","CHN","BRA",0.00175736623350531
"gas","CHN","RUS",0.279052674770355
"gas","CHN","LAM",0.0316891620241222
"gas","CHN","EUR",0.307396080261242
"gas","CHN","ROE",0.0298896464751124
"gas","CHN","ASI",0.45447688139393
"gas","CHN","REA",0.000790784750279272
"gas","CHN","ANZ",0.0935112733748156
"gas","CHN","MES",0.309600841079373
"gas","CHN","AFR",0.0235531086145784
"gas","CAN","CHN",0.357354760169983
"gas","CAN","JPN",0.0293577406555414
"gas","CAN","KOR",0.0174146704375744
"gas","CAN","TWN",0.0244022272527218
"gas","CAN","IND",0.00588559941388667
"gas","CAN","USA",68.488198980689
"gas","CAN","MEX",0.00698816729709506
"gas","CAN","BRA",0.0041589371394366
"gas","CAN","RUS",0.0653792954981327
"gas","CAN","LAM",0.412460278337676
"gas","CAN","EUR",0.779614593272072
"gas","CAN","ROE",0.174467680115413
"gas","CAN","ASI",0.516520196164493
"gas","CAN","REA",0.000653621726087295
"gas","CAN","ANZ",0.129662961473514
"gas","CAN","MES",0.566069383465219
"gas","CAN","AFR",0.0897558059386938
"gas","USA","CHN",0.42393510806869
"gas","USA","JPN",0.684482380747795
"gas","USA","KOR",0.232402190566063
"gas","USA","TWN",0.0733972618272674
"gas","USA","IND",0.627168856561184
"gas","USA","CAN",13.4592371284962
"gas","USA","MEX",11.5166337490082
"gas","USA","BRA",0.314640221185982
"gas","USA","RUS",0.591248561060638
"gas","USA","LAM",0.587201203826226
"gas","USA","EUR",3.46323070299968
"gas","USA","ROE",0.302966245381867
"gas","USA","ASI",1.47591055611701
"gas","USA","REA",0.00656337811960839
"gas","USA","ANZ",0.879473160617636
"gas","USA","MES",1.97221907735184
"gas","USA","AFR",0.254755644407851
"gas","MEX","CHN",0.0122513155511115
"gas","MEX","JPN",6.3781211792957E-5
"gas","MEX","KOR",0.000404238147893921
"gas","MEX","TWN",0.000801983871497214
"gas","MEX","IND",6.47178894723766E-5
"gas","MEX","CAN",0.00014068023301661
"gas","MEX","USA",0.0212017763406038
"gas","MEX","BRA",6.32529408903793E-5
"gas","MEX","RUS",0.00176646944601089
"gas","MEX","LAM",0.00337402845411816
"gas","MEX","EUR",0.0094844404950436
"gas","MEX","ROE",0.00183710489181976
"gas","MEX","ASI",0.0161239294320694
"gas","MEX","REA",7.20594093763793E-5
"gas","MEX","ANZ",0.00326458022027509
"gas","MEX","MES",0.0218179651310493
"gas","MEX","AFR",0.00227840692650716
"gas","RUS","CHN",0.420522108674049
"gas","RUS","JPN",22.8806278798729
"gas","RUS","KOR",4.40915180312004
"gas","RUS","TWN",0.135146040469408
"gas","RUS","IND",0.0452400771901011
"gas","RUS","CAN",0.0468393838964403
"gas","RUS","USA",0.405552979558706
"gas","RUS","MEX",0.0671154968440533
"gas","RUS","BRA",0.0312764551490545
"gas","RUS","LAM",0.373816601939325
"gas","RUS","EUR",85.0401599341858
"gas","RUS","ROE",44.5914005439236
"gas","RUS","ASI",0.962222291622311
"gas","RUS","REA",0.00228966407303233
"gas","RUS","ANZ",0.184993859835231
"gas","RUS","MES",2.64045503584202
"gas","RUS","AFR",0.533489433715658
"gas","LAM","CHN",0.319563819789664
"gas","LAM","JPN",1.21220869690706
"gas","LAM","KOR",2.7369896315671
"gas","LAM","TWN",0.18802302119775
"gas","LAM","IND",0.66666793826289
"gas","LAM","CAN",0.351490009681243
"gas","LAM","USA",4.15462997179384
"gas","LAM","MEX",0.555769206012883
"gas","LAM","BRA",8.45395439775234
"gas","LAM","RUS",0.154866484723243
"gas","LAM","LAM",6.48112669343936
"gas","LAM","EUR",5.637298582997
"gas","LAM","ROE",0.916200047874099
"gas","LAM","ASI",0.613314735239555
"gas","LAM","REA",0.000647241546516852
"gas","LAM","ANZ",0.0597268408067748
"gas","LAM","MES",0.429796517382783
"gas","LAM","AFR",0.0514808292469979
"gas","EUR","CHN",0.1480498267033
"gas","EUR","JPN",0.182440657035386
"gas","EUR","KOR",0.145620253832931
"gas","EUR","TWN",0.0434486220490271
"gas","EUR","IND",0.103797263383967
"gas","EUR","CAN",0.0208790341897611
"gas","EUR","USA",0.398915945993849
"gas","EUR","MEX",0.0171755798637605
"gas","EUR","BRA",0.0858763980490949
"gas","EUR","RUS",0.619568957357842
"gas","EUR","LAM",0.354607503529792
"gas","EUR","EUR",114.327627422972
"gas","EUR","ROE",0.519474960235584
"gas","EUR","ASI",0.517287834626131
"gas","EUR","REA",0.00382358119827586
"gas","EUR","ANZ",0.248460542837392
"gas","EUR","MES",1.06519894062171
"gas","EUR","AFR",0.252936005414426
"gas","ROE","CHN",22.5019799369409
"gas","ROE","JPN",0.279171500064649
"gas","ROE","KOR",0.0890879112207585
"gas","ROE","TWN",0.140365906670468
"gas","ROE","IND",0.0636551239113032
"gas","ROE","CAN",0.0604548161854837
"gas","ROE","USA",0.446768392718468
"gas","ROE","MEX",0.0918170901913982
"gas","ROE","BRA",0.0412035892582026
"gas","ROE","RUS",0.667401535319868
"gas","ROE","LAM",0.421921986304824
"gas","ROE","EUR",7.6537882048101
"gas","ROE","ROE",17.3458316936202
"gas","ROE","ASI",1.01523056666588
"gas","ROE","REA",0.0124640472574811
