"ii","Dim2","rr","Val"
"coa","mil","CAN",6.13656011410058E-5
"coa","mil","USA",0.00054737483151257
"coa","mil","MEX",4.34890353062656E-6
"coa","mil","BRA",0.00224984274245799
"coa","mil","RUS",0.000189011276233941
"coa","mil","LAM",0.00387215131627272
"coa","mil","EUR",0.110719780475392
"coa","mil","ROE",0.0138103686579143
"coa","mil","REA",0.000269112398200377
"coa","mil","ANZ",0.00120061027701013
"coa","mil","MES",6.80541343172081E-5
"coa","mil","AFR",0.000220037409235374
"coa","pcr","CHN",0.00573433097451925
"coa","pcr","JPN",3.96893628931139E-5
"coa","pcr","KOR",1.13590931505314E-5
"coa","pcr","IND",0.000216515007195994
"coa","pcr","USA",2.53773596341489E-5
"coa","pcr","BRA",0.000793722982052714
"coa","pcr","LAM",0.000132281528522071
"coa","pcr","EUR",0.000816268219068661
"coa","pcr","ROE",0.000600351012053579
"coa","pcr","REA",0.00025345429094159
"coa","sgr","CHN",0.00923080090433359
"coa","sgr","JPN",3.2543801353313E-5
"coa","sgr","KOR",0.000298798113362864
"coa","sgr","IND",0.0172489546239376
"coa","sgr","CAN",1.78326954483055E-5
"coa","sgr","USA",0.000284111389191821
"coa","sgr","MEX",5.15845977133722E-6
"coa","sgr","BRA",0.00667690765112638
"coa","sgr","RUS",0.000138447008794174
"coa","sgr","LAM",0.00218146953739051
"coa","sgr","EUR",0.0105513076609896
"coa","sgr","ROE",0.0240095015906263
"coa","sgr","ASI",3.13951954922231E-5
"coa","sgr","REA",0.00104487035423517
"coa","sgr","ANZ",6.84190808897256E-6
"coa","sgr","MES",0.000160448471433483
"coa","sgr","AFR",0.00311897015217255
"coa","ofd","CHN",0.472222935408354
"coa","ofd","JPN",0.00144793861545622
"coa","ofd","KOR",0.00205558119341731
"coa","ofd","TWN",1.23165063996566E-5
"coa","ofd","IND",0.0499477796256542
"coa","ofd","CAN",0.00068493455182761
"coa","ofd","USA",0.00900301430374384
"coa","ofd","MEX",6.7122709879186E-5
"coa","ofd","BRA",0.03668312728405
"coa","ofd","RUS",0.00032707306672819
"coa","ofd","LAM",0.0111536837530366
"coa","ofd","EUR",0.294220047265298
"coa","ofd","ROE",0.286392267957126
"coa","ofd","ASI",4.80036978842691E-5
"coa","ofd","REA",0.00143757611840556
"coa","ofd","ANZ",0.000733535787730943
"coa","ofd","MES",0.00122435982757452
"coa","ofd","AFR",0.00524965208387584
"coa","b_t","CHN",0.249918304849416
"coa","b_t","JPN",1.54890312842326E-5
"coa","b_t","KOR",0.000578753941226751
"coa","b_t","IND",0.0466615930199623
"coa","b_t","CAN",2.60511151282117E-5
"coa","b_t","USA",8.43302841531113E-5
"coa","b_t","BRA",0.0003415385435801
"coa","b_t","RUS",8.18094340502284E-5
"coa","b_t","LAM",0.00151693705629441
"coa","b_t","EUR",0.0935571732570679
"coa","b_t","ROE",0.00144540645533198
"coa","b_t","ASI",8.67652647684736E-6
"coa","b_t","REA",0.000689606873493176
"coa","b_t","ANZ",3.70660245607723E-6
"coa","b_t","MES",1.97019217011984E-5
"coa","b_t","AFR",0.000238814298427314
"coa","tex","CHN",0.273202870041132
"coa","tex","JPN",0.000392928079236299
"coa","tex","KOR",0.00456045102328062
"coa","tex","TWN",0.0615750513970852
"coa","tex","IND",0.304618656635284
"coa","tex","CAN",0.00016628103912808
"coa","tex","USA",4.75813321827445E-5
"coa","tex","BRA",0.000228968739975244
"coa","tex","RUS",1.30860225908691E-5
"coa","tex","LAM",0.00418033763344283
"coa","tex","EUR",0.0251800683604415
"coa","tex","ROE",0.0880727494773055
"coa","tex","ASI",0.0213616378605366
"coa","tex","REA",0.00224346993854851
"coa","tex","ANZ",2.33620976359816E-5
"coa","tex","MES",0.000463146716356277
"coa","tex","AFR",0.000594501494106225
"coa","wap","CHN",0.163275979226455
"coa","wap","JPN",6.04132801527157E-5
"coa","wap","KOR",0.00127005763351917
"coa","wap","IND",0.0227951239794493
"coa","wap","CAN",4.37303169746883E-5
"coa","wap","USA",5.94020502830972E-6
"coa","wap","BRA",3.44174732163083E-5
