"ii","rr","ss","Val"
"isr","EUR","USA",30.1086372148991
"isr","EUR","MEX",0.917599684506655
"isr","EUR","BRA",0.53788140874356
"isr","EUR","RUS",0.852893360331655
"isr","EUR","LAM",2.28524935050739
"isr","EUR","EUR",27.9291311471746
"isr","EUR","ROE",1.1427427609507
"isr","EUR","ASI",1.99792315083742
"isr","EUR","REA",0.65095646846015
"isr","EUR","ANZ",0.575533977463725
"isr","EUR","MES",3.13926729735546
"isr","EUR","AFR",2.65381101608347
"isr","EUR","IDZ",0.347304564654827
"isr","ROE","CHN",0.4405943050161
"isr","ROE","JPN",0.03076555326581
"isr","ROE","KOR",0.0103543691858649
"isr","ROE","TWN",0.0183288226351142
"isr","ROE","IND",0.0346732876263559
"isr","ROE","CAN",0.0248600781410933
"isr","ROE","USA",0.300853154182434
"isr","ROE","MEX",0.0423638654574752
"isr","ROE","BRA",0.0283127524442971
"isr","ROE","RUS",0.022499621335417
"isr","ROE","LAM",0.0453765178798349
"isr","ROE","EUR",0.40193452119315
"isr","ROE","ROE",0.01935269045108
"isr","ROE","ASI",0.0629616957269609
"isr","ROE","REA",0.0137487422674312
"isr","ROE","ANZ",0.0132294225292862
"isr","ROE","MES",0.0866577450870536
"isr","ROE","AFR",0.0479828620519256
"isr","ROE","IDZ",0.00790164451301098
"isr","ASI","CHN",0.794145997047424
"isr","ASI","JPN",0.256632803916931
"isr","ASI","KOR",0.109372320413589
"isr","ASI","TWN",0.0163681082725525
"isr","ASI","IND",0.523058779597282
"isr","ASI","CAN",0.072992835521698
"isr","ASI","USA",0.658915893554687
"isr","ASI","MEX",0.0865920342206955
"isr","ASI","BRA",0.054806619644165
"isr","ASI","RUS",0.0360234727859497
"isr","ASI","LAM",0.112913156077731
"isr","ASI","EUR",1.06743505232781
"isr","ASI","ROE",0.0858303104825318
"isr","ASI","ASI",0.0959778540730476
"isr","ASI","REA",0.0344890910787508
"isr","ASI","ANZ",0.183241544612101
"isr","ASI","MES",0.187083636797965
"isr","ASI","AFR",0.128747850221116
"isr","ASI","IDZ",0.0209637990891933
"isr","REA","CHN",0.0712970862705261
"isr","REA","JPN",0.0351731732562184
"isr","REA","KOR",0.0143082568384707
"isr","REA","TWN",0.00899860103428364
"isr","REA","IND",0.0181988987699151
"isr","REA","CAN",0.0379535488933325
"isr","REA","USA",0.28683531832695
"isr","REA","MEX",0.0152496425285935
"isr","REA","BRA",0.010594638960436
"isr","REA","RUS",0.0140517686344683
"isr","REA","LAM",0.0272977968414197
"isr","REA","EUR",0.339054645031807
"isr","REA","ROE",0.0176078445257735
"isr","REA","ASI",0.0321403300170787
"isr","REA","REA",0.00660567317804089
"isr","REA","ANZ",0.0141286270677811
"isr","REA","MES",0.0543026475596707
"isr","REA","AFR",0.0307386110025109
"isr","REA","IDZ",0.00520657134987414
"isr","ANZ","CHN",0.241166301231133
"isr","ANZ","JPN",0.0332706827223301
"isr","ANZ","KOR",0.0411050616512075
"isr","ANZ","TWN",0.0220863331235014
"isr","ANZ","IND",0.016290626052767
"isr","ANZ","CAN",0.0138037166707218
"isr","ANZ","USA",0.320184333488345
"isr","ANZ","MEX",0.0121972103882581
"isr","ANZ","BRA",0.00986266281083226
"isr","ANZ","RUS",0.00278851917758584
"isr","ANZ","LAM",0.0444119964722195
"isr","ANZ","EUR",0.261201547473552
"isr","ANZ","ROE",0.0269662563124439
"isr","ANZ","ASI",0.412979248179938
"isr","ANZ","REA",0.0137470180030214
"isr","ANZ","ANZ",0.104461653424252
"isr","ANZ","MES",0.10784096838499
"isr","ANZ","AFR",0.0475316538350307
"isr","ANZ","IDZ",0.00795574309304357
"isr","MES","CHN",0.39671252155304
"isr","MES","JPN",0.240737099736929
"isr","MES","KOR",0.0531258460879326
"isr","MES","TWN",0.0322487269043922
"isr","MES","IND",0.105439448997378
"isr","MES","CAN",0.157199514091015
"isr","MES","USA",1.36753528487682
"isr","MES","MEX",0.0760740471631289
"isr","MES","BRA",0.0884459921047091
"isr","MES","RUS",0.0697452642843127
"isr","MES","LAM",0.136967825522064
"isr","MES","EUR",1.22804562790249
"isr","MES","ROE",0.0841077089830069
"isr","MES","ASI",0.118049463160336
"isr","MES","REA",0.0408851612282451
"isr","MES","ANZ",0.0663090005404083
"isr","MES","MES",0.167800149188377
"isr","MES","AFR",0.137959073800244
"isr","MES","IDZ",0.0336138536818325
"isr","AFR","CHN",0.354560103579424
"isr","AFR","JPN",0.0553461975865066
"isr","AFR","KOR",0.0552444265075028
"isr","AFR","TWN",0.0297678134292364
"isr","AFR","IND",0.0396376106739044
"isr","AFR","CAN",0.0667186269573867
"isr","AFR","USA",0.580099839061499
"isr","AFR","MEX",0.0367059993557632
"isr","AFR","BRA",0.0247956271627918
"isr","AFR","RUS",0.02257150979992
"isr","AFR","LAM",0.0637041451498516
"isr","AFR","EUR",0.707287107486919
"isr","AFR","ROE",0.0466366721203667
"isr","AFR","ASI",0.0912601115857251
"isr","AFR","REA",0.0194422652701614
"isr","AFR","ANZ",0.033577185420203
"isr","AFR","MES",0.147376231372706
"isr","AFR","AFR",0.0661403744834825
"isr","AFR","IDZ",0.0118151157214306
"isr","IDZ","CHN",0.0054294136762619
"isr","IDZ","JPN",0.00270471811294556
"isr","IDZ","KOR",0.00149015748500824
"isr","IDZ","TWN",0.0107695846557617
"isr","IDZ","IND",0.00131128191947937
"isr","IDZ","CAN",0.00308566188812256
"isr","IDZ","USA",0.0206831111907959
"isr","IDZ","MEX",0.00114795112609863
"isr","IDZ","BRA",0.000758780002593994
"isr","IDZ","RUS",0.0014273841381073
"isr","IDZ","LAM",0.00386564315902069
"isr","IDZ","EUR",0.0327808290310204
"isr","IDZ","ROE",0.00346117709949613
"isr","IDZ","ASI",0.00278351177275181
"isr","IDZ","REA",0.0013859594813548
"isr","IDZ","ANZ",0.00143598380964249
"isr","IDZ","MES",0.0275331816673279
"isr","IDZ","AFR",0.00370489724352956
"obs","CHN","CHN",0.826369453430176
"obs","CHN","JPN",2.94300903320313
"obs","CHN","KOR",1.51508380126953
"obs","CHN","TWN",0.717074703216553
"obs","CHN","IND",2.19905108642578
"obs","CHN","CAN",1.79214178466797
"obs","CHN","USA",10.0008803710937
"obs","CHN","MEX",0.0308914213180542
"obs","CHN","BRA",1.27865678405762
"obs","CHN","RUS",0.251116661071777
"obs","CHN","LAM",0.763476365715265
"obs","CHN","EUR",18.804293923527
"obs","CHN","ROE",0.676331170916557
"obs","CHN","ASI",1.98485741233826
"obs","CHN","REA",0.597012136876583
"obs","CHN","ANZ",0.758546632779762
"obs","CHN","MES",2.9343681473732
"obs","CHN","AFR",1.6174619101584
"obs","CHN","IDZ",0.344554489135742
"obs","JPN","CHN",0.524712715148926
"obs","JPN","KOR",0.492332183837891
"obs","JPN","TWN",0.568650695800781
"obs","JPN","IND",0.668223571777344
"obs","JPN","CAN",0.584196105957031
"obs","JPN","USA",3.4804384765625
"obs","JPN","MEX",0.0110335454940796
"obs","JPN","BRA",0.436798431396484
"obs","JPN","RUS",0.0653146057128906
"obs","JPN","LAM",0.35840201446414
"obs","JPN","EUR",6.90337676727772
"obs","JPN","ROE",0.328002222061157
"obs","JPN","ASI",2.73575975608826
"obs","JPN","REA",0.261893384516239
"obs","JPN","ANZ",0.270111021950841
"obs","JPN","MES",1.83573219251633
"obs","JPN","AFR",0.675612519979477
"obs","JPN","IDZ",0.149205017089844
"obs","KOR","CHN",0.491525829315186
"obs","KOR","JPN",1.34456079101562
"obs","KOR","TWN",0.115453277587891
"obs","KOR","IND",0.673116333007812
"obs","KOR","CAN",0.597820068359375
"obs","KOR","USA",3.2655380859375
"obs","KOR","MEX",0.00804650592803955
"obs","KOR","BRA",0.320748779296875
"obs","KOR","RUS",0.239995452880859
"obs","KOR","LAM",0.231037353396416
"obs","KOR","EUR",5.77666002386808
"obs","KOR","ROE",0.207324075222015
"obs","KOR","ASI",0.617400608062744
"obs","KOR","REA",0.188595043390989
"obs","KOR","ANZ",0.240950844146311
"obs","KOR","MES",0.71996791934967
"obs","KOR","AFR",0.553434886157512
"obs","KOR","IDZ",0.107948471069336
"obs","TWN","CHN",0.71601376914978
"obs","TWN","JPN",0.558558349609375
"obs","TWN","KOR",0.113729774475098
"obs","TWN","IND",0.177821075439453
"obs","TWN","CAN",0.168224151611328
"obs","TWN","USA",1.46919665527344
"obs","TWN","MEX",0.110667434692383
"obs","TWN","BRA",0.234247360229492
"obs","TWN","RUS",0.180156539916992
"obs","TWN","LAM",0.21771824388206
"obs","TWN","EUR",1.78153179877996
"obs","TWN","ROE",0.140710795581341
"obs","TWN","ASI",0.107168508529663
"obs","TWN","REA",0.067755119740963
"obs","TWN","ANZ",0.150895041570067
"obs","TWN","MES",0.245674784183502
"obs","TWN","AFR",0.196396071881056
"obs","TWN","IDZ",0.0800087509155274
"obs","IND","CHN",3.04956048583984
"obs","IND","JPN",0.680246948242188
"obs","IND","KOR",1.34006591796875
"obs","IND","TWN",0.17972087097168
"obs","IND","CAN",1.07353784179688
"obs","IND","USA",18.51973046875
"obs","IND","MEX",0.00770348501205444
"obs","IND","BRA",0.620192443847656
"obs","IND","RUS",0.116583274841309
"obs","IND","LAM",0.76716892722249
"obs","IND","EUR",22.5099155802727
"obs","IND","ROE",0.5183060131073
"obs","IND","ASI",1.58755408859253
"obs","IND","REA",0.505248323440552
"obs","IND","ANZ",0.761684841759503
