"ii","rr","ss","Val"
"wht","RUS","EUR",0.208257007730188
"wht","RUS","ROE",0.401882670898501
"wht","RUS","ASI",0.1600518221163
"wht","RUS","REA",0.0448391887886416
"wht","RUS","MES",0.0484967834352834
"wht","RUS","AFR",0.0260189387980533
"wht","LAM","CHN",0.00966068200413413
"wht","LAM","JPN",0.590835028704327
"wht","LAM","KOR",0.0233965082023604
"wht","LAM","TWN",0.065342631690011
"wht","LAM","CAN",0.00594572255536726
"wht","LAM","MEX",0.446666726043573
"wht","LAM","BRA",6.01483863216646E-6
"wht","LAM","LAM",0.0048806298522412
"wht","LAM","EUR",0.116361774348399
"wht","LAM","ROE",0.649046502164681
"wht","LAM","ASI",0.0449124567788918
"wht","LAM","REA",0.0668881885150798
"wht","LAM","MES",0.0140647543165373
"wht","LAM","AFR",0.0587695331393469
"wht","LAM","IDZ",0.0249999227124066
"wht","EUR","CHN",0.0033007832205139
"wht","EUR","JPN",0.217828036258071
"wht","EUR","KOR",0.0167690262096927
"wht","EUR","TWN",0.0210295205244759
"wht","EUR","USA",0.0141743305018128
"wht","EUR","RUS",0.0224222315909883
"wht","EUR","LAM",0.000234234055531594
"wht","EUR","EUR",0.0265433843131087
"wht","EUR","ROE",0.329204283981536
"wht","EUR","ASI",0.0086223473957659
"wht","EUR","REA",0.047128474239179
"wht","EUR","MES",0.080823174437392
"wht","EUR","AFR",0.0720308585969537
"wht","EUR","IDZ",0.0475826155473676
"wht","ROE","CHN",0.00572513491686831
"wht","ROE","JPN",0.149440824375162
"wht","ROE","KOR",0.0151806253707134
"wht","ROE","USA",0.00928464141966355
"wht","ROE","MEX",0.0246351001847918
"wht","ROE","EUR",0.22338483078419
"wht","ROE","ROE",0.206182164704629
"wht","ROE","REA",0.0356524373630369
"wht","ROE","MES",0.116080246578495
"wht","ROE","AFR",0.111822447842988
"wht","ROE","IDZ",0.0376772865114871
"wht","REA","ASI",0.016837693983396
"wht","REA","REA",0.0337183629017328
"wht","REA","AFR",0.0281243123353262
"wht","REA","IDZ",0.0458043540146066
"wht","ANZ","CHN",0.00997017372144647
"wht","ANZ","JPN",0.184719404594912
"wht","ANZ","KOR",0.0168017062247736
"wht","ANZ","TWN",0.0652363243735626
"wht","ANZ","CAN",0.00592839600904576
"wht","ANZ","USA",0.00838406037918076
"wht","ANZ","MEX",0.446666734616312
"wht","ANZ","BRA",0.049999946214375
"wht","ANZ","RUS",0.100000033591664
"wht","ANZ","LAM",0.0314339671395554
"wht","ANZ","EUR",0.0464963066339888
"wht","ANZ","ROE",0.397042132384063
"wht","ANZ","ASI",0.0650799856452667
"wht","ANZ","REA",0.0235026286807361
"wht","ANZ","ANZ",0.00109245053352255
"wht","ANZ","MES",0.00285052096816728
"wht","ANZ","AFR",0.0892723228732377
"wht","ANZ","IDZ",0.0482829144386023
"wht","MES","CAN",0.00593993900475944
"wht","MES","USA",0.0152726991699055
"wht","MES","BRA",0.0446648281479241
"wht","MES","LAM",0.0206844859508784
"wht","MES","EUR",0.000540440562284813
"wht","MES","ROE",0.00751251521060749
"wht","MES","REA",0.00652076039795499
"wht","MES","MES",0.00652333416035198
"wht","MES","AFR",0.00433769731928929
"wht","AFR","CHN",0.0443334867818431
"wht","AFR","JPN",0.0579457017462009
"wht","AFR","KOR",0.00121621972066607
"wht","AFR","TWN",0.0410799263695451
"wht","AFR","CAN",0.000338990179509202
"wht","AFR","USA",0.00357627679749766
"wht","AFR","MEX",0.0335105046946009
"wht","AFR","BRA",0.005865998015966
"wht","AFR","RUS",0.00624599341745493
"wht","AFR","LAM",0.00403879470213225
"wht","AFR","EUR",0.00432974106758767
"wht","AFR","ROE",0.0213212163230728
"wht","AFR","ASI",0.0031173090925254
"wht","AFR","REA",0.0036542483162643
"wht","AFR","MES",0.0194322421139518
"wht","AFR","AFR",0.0252811501621897
"wht","AFR","IDZ",0.00208950456645857
"gro","CHN","JPN",0.045647181753147
"gro","CHN","KOR",2.05419906282768
"gro","CHN","TWN",0.00131439667253219
"gro","CHN","CAN",5.81513533404188E-5
"gro","CHN","USA",0.00077628572012256
"gro","CHN","BRA",0.0399999514306872
"gro","CHN","RUS",0.0495681764467206
"gro","CHN","LAM",0.0128891445282929
"gro","CHN","EUR",0.0822807723499408
"gro","CHN","ROE",0.0448386156824835
"gro","CHN","ASI",0.145288316012526
"gro","CHN","REA",0.00173869305928106
"gro","CHN","MES",0.02196396323721
"gro","CHN","AFR",0.0256369302340147
"gro","CHN","IDZ",1.19453237739098E-5
"gro","IND","CHN",0.0108431062130154
"gro","IND","JPN",0.0555748799805402
"gro","IND","KOR",4.20111992179026
"gro","IND","TWN",0.000310632269305167
"gro","IND","USA",0.0106255574871255
"gro","IND","RUS",0.0499999711383219
"gro","IND","LAM",0.00574426193455325
"gro","IND","EUR",0.111733937722725
"gro","IND","ROE",0.41388213786598
"gro","IND","ASI",0.000946602577020015
"gro","IND","REA",0.0418299128965789
"gro","IND","ANZ",0.028129531050145
"gro","IND","MES",0.0258243352911618
"gro","IND","AFR",0.203668138563486
"gro","IND","IDZ",0.0497361544931734
"gro","CAN","CHN",0.014995045200373
"gro","CAN","JPN",0.212703866142996
"gro","CAN","KOR",0.896699353192907
"gro","CAN","TWN",0.029412372623993
"gro","CAN","IND",0.149999995258455
"gro","CAN","BRA",0.0399999200530772
"gro","CAN","RUS",0.049999943649246
"gro","CAN","LAM",0.082366290633713
"gro","CAN","EUR",0.0145368736147667
"gro","CAN","ROE",0.150881091400123
"gro","CAN","ASI",0.0534109825825946
"gro","CAN","REA",0.00389099452545813
"gro","CAN","MES",0.00511364129389206
"gro","CAN","AFR",0.0121903781116449
"gro","CAN","IDZ",0.0499999316693451
"gro","USA","CHN",0.00989025814235182
"gro","USA","JPN",0.075691388409399
"gro","USA","KOR",4.27267080361518
