"Dim1","rr","Val"
"wol","ASI",6.22443152862026E-6
"wol","REA",0.00158619026532416
"wol","ANZ",-2.48744405924809E-6
"wol","MES",0.00340244132566397
"wol","AFR",0.00298238270129004
"wol","IDZ",-1.50247522230362E-5
"frs","JPN",-0.0281658092304706
"frs","KOR",0.183714624625889
"frs","TWN",0.00269437727831889
"frs","IND",0.000325423040524742
"frs","CAN",0.0146451751175897
"frs","USA",0.0522288613639461
"frs","BRA",-0.000458537368177137
"frs","RUS",3.48719042442269E-6
"frs","LAM",0.015629772282449
"frs","EUR",-0.000403671518197074
"frs","ROE",0.0160115558886095
"frs","ASI",0.000150353334782022
"frs","REA",0.0229392788212487
"frs","ANZ",0.00955921767688403
"frs","MES",0.00158455356429894
"frs","AFR",0.0027980362821301
"fsh","CHN",-1.40741675371804E-9
"fsh","JPN",0.013685971440656
"fsh","KOR",0.00544479702318734
"fsh","TWN",0.00824198567257528
"fsh","IND",-0.00187910345095577
"fsh","CAN",0.0142119697526577
"fsh","USA",0.0194336490117376
"fsh","MEX",0.00780462421068528
"fsh","BRA",0.00588351597782122
"fsh","LAM",0.0079552072717562
"fsh","EUR",0.0359040445873062
"fsh","ROE",0.000256095729005247
"fsh","ASI",6.4768127687397E-5
"fsh","REA",0.0034941973315394
"fsh","ANZ",0.00841020162385038
"fsh","MES",0.000781373772544977
"fsh","AFR",0.0150577143523065
"coa","CHN",-6.08024648407479E-7
"coa","KOR",0.00136984839231835
"coa","IND",0.00742508170932643
"coa","CAN",0.0214694784902781
"coa","USA",0.0872011125700874
"coa","MEX",0.00711237667332854
"coa","BRA",0.00897392545223508
"coa","LAM",0.00547783031085144
"coa","EUR",-0.34262168443653
"coa","ROE",-0.0341255307422994
"coa","ASI",9.55154049544108E-6
"coa","REA",0.0232176825088316
"coa","ANZ",0.00546097775826769
"coa","MES",0.000356316534289015
"coa","AFR",0.00886047725294051
"coa","IDZ",-5.59516716291952E-7
"oil","IND",0.00680015203451323
"oil","CAN",0.00953673710327629
"oil","USA",0.0459117618468722
"oil","MEX",0.586507990747166
"oil","BRA",0.00466416701236505
"oil","LAM",0.0129562640982407
"oil","EUR",0.0269337349372767
"oil","ROE",0.0412192242241066
"oil","ASI",0.0264837937519213
"oil","REA",0.092713199193337
"oil","ANZ",0.0190044519517053
"oil","MES",0.00336124839100437
"oil","AFR",0.00855135814127136
"gas","CHN",1.21332004290224E-7
"gas","JPN",-0.0130651820846499
"gas","KOR",0.000684735827174987
"gas","TWN",0.00388933228038085
"gas","IND",0.0037442429924315
"gas","CAN",0.0184689269413785
"gas","USA",0.0389757256450857
"gas","MEX",0.484507622921572
"gas","BRA",0.00458889805663546
"gas","RUS",2.93390145405264E-7
"gas","LAM",0.0725850230590071
"gas","EUR",0.035802799123799
"gas","ROE",0.196729998957753
"gas","ASI",0.015956134567028
"gas","REA",0.0846903974413563
"gas","ANZ",-0.0188293013493995
